         6841678 function calls (6787189 primitive calls) in 13.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.844   13.844 <string>:3(<module>)
        1    0.026    0.026   13.844   13.844 geo_functions.py:140(getBlockAvailability)
        1    1.084    1.084   12.949   12.949 predictive_functions3.py:6(historicalUtilizationPercentageWithIgnore)
   197244    0.243    0.000    8.340    0.000 cursor.py:1185(next)
       10    0.012    0.001    7.940    0.794 cursor.py:1076(_refresh)
        8    0.006    0.001    7.927    0.991 cursor.py:911(__send_message)
        8    0.000    0.000    5.542    0.693 mongo_client.py:1106(_send_message_with_response)
        8    0.000    0.000    5.541    0.693 mongo_client.py:1147(_reset_on_error)
        8    0.000    0.000    5.541    0.693 server.py:66(send_message_with_response)
        8    0.007    0.001    5.537    0.692 pool.py:603(receive_message)
        9    0.014    0.002    5.531    0.615 network.py:169(receive_message)
       18    0.166    0.009    5.485    0.305 network.py:207(_receive_data_on_socket)
       19    5.319    0.280    5.319    0.280 {method 'recv' of '_socket.socket' objects}
        8    0.000    0.000    2.379    0.297 cursor.py:1066(_unpack_response)
        8    0.000    0.000    2.379    0.297 message.py:1454(unpack_response)
        9    2.251    0.250    2.379    0.264 {bson._cbson.decode_all}
     6323    0.031    0.000    1.629    0.000 frame.py:2893(__getitem__)
     1619    0.007    0.000    1.481    0.001 frame.py:2952(_getitem_bool_array)
     3948    0.038    0.000    1.459    0.000 ops.py:1660(wrapper)
     1619    0.013    0.000    1.364    0.001 generic.py:3323(_take)
     1620    0.017    0.000    1.271    0.001 managers.py:1329(take)
     2341    0.023    0.000    1.209    0.001 ops.py:1817(wrapper)
    16550    0.119    0.000    1.060    0.000 series.py:152(__init__)
     1620    0.019    0.000    1.044    0.001 managers.py:1198(reindex_indexer)
     4682    0.017    0.000    0.882    0.000 ops.py:1815(<lambda>)
     7489    0.031    0.000    0.774    0.000 blocks.py:1217(take_nd)
1151782/1151577    0.309    0.000    0.698    0.000 {isinstance}
     7489    0.100    0.000    0.667    0.000 algorithms.py:1544(take_nd)
     2488    0.006    0.000    0.527    0.000 ops.py:1166(dispatch_to_index_op)
    95237    0.090    0.000    0.459    0.000 base.py:75(is_dtype)
     4682    0.015    0.000    0.445    0.000 series.py:3831(fillna)
     4682    0.053    0.000    0.431    0.000 generic.py:5948(fillna)
4684/4683    0.022    0.000    0.426    0.000 generic.py:5581(astype)
    24062    0.038    0.000    0.389    0.000 blocks.py:3080(make_block)
     9382    0.055    0.000    0.364    0.000 managers.py:318(apply)
    16550    0.043    0.000    0.347    0.000 managers.py:1443(__init__)
   414537    0.149    0.000    0.332    0.000 generic.py:7(_check)
     2488    0.012    0.000    0.319    0.000 datetimes.py:265(__new__)
   681151    0.273    0.000    0.295    0.000 {getattr}
     6330    0.032    0.000    0.263    0.000 construction.py:537(sanitize_array)
     1626    0.011    0.000    0.248    0.000 managers.py:97(__init__)
     4683    0.010    0.000    0.238    0.000 managers.py:530(astype)
     6366    0.029    0.000    0.236    0.000 blocks.py:3034(get_block_type)
    42852    0.025    0.000    0.223    0.000 common.py:434(is_datetime64tz_dtype)
     2488    0.009    0.000    0.215    0.000 datetimes.py:365(_from_sequence)
    30778    0.057    0.000    0.201    0.000 _dtype.py:319(_name_get)
     2488    0.003    0.000    0.196    0.000 datetimelike.py:111(wrapper)
     2488    0.021    0.000    0.192    0.000 datetimes.py:1681(sequence_to_dt64ns)
    49786    0.084    0.000    0.190    0.000 dtypes.py:68(find)
    43614    0.046    0.000    0.189    0.000 common.py:1702(is_extension_array_dtype)
     2488    0.017    0.000    0.182    0.000 datetimes.py:133(wrapper)
    26215    0.019    0.000    0.166    0.000 common.py:572(is_categorical_dtype)
     7489    0.035    0.000    0.164    0.000 cast.py:255(maybe_promote)
     6330    0.009    0.000    0.161    0.000 construction.py:684(_try_cast)
     4683    0.006    0.000    0.160    0.000 blocks.py:532(astype)
     4683    0.018    0.000    0.154    0.000 blocks.py:536(_astype)
     1620    0.005    0.000    0.154    0.000 base.py:784(take)
    45548    0.062    0.000    0.152    0.000 common.py:1845(_is_dtype_type)
     4682    0.009    0.000    0.143    0.000 managers.py:524(fillna)
     1620    0.003    0.000    0.143    0.000 numeric.py:67(_shallow_copy)
     7489    0.045    0.000    0.141    0.000 algorithms.py:1417(_get_take_nd_function)
     1623    0.005    0.000    0.140    0.000 base.py:584(_shallow_copy_with_infer)
    36952    0.045    0.000    0.138    0.000 common.py:1981(pandas_dtype)
    30779    0.052    0.000    0.135    0.000 numerictypes.py:365(issubdtype)
1640/1633    0.026    0.000    0.133    0.000 base.py:253(__new__)
    17739    0.021    0.000    0.130    0.000 blocks.py:225(make_block_same_class)
