         64297 function calls (63794 primitive calls) in 0.126 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.126    0.126 <string>:2(<module>)
      163    0.001    0.000    0.057    0.000 cursor.py:1185(next)
       26    0.000    0.000    0.056    0.002 cursor.py:1076(_refresh)
       13    0.001    0.000    0.055    0.004 cursor.py:911(__send_message)
       13    0.000    0.000    0.052    0.004 mongo_client.py:1106(_send_message_with_response)
       13    0.000    0.000    0.051    0.004 mongo_client.py:1147(_reset_on_error)
       13    0.000    0.000    0.051    0.004 server.py:66(send_message_with_response)
       13    0.000    0.000    0.047    0.004 pool.py:603(receive_message)
       13    0.000    0.000    0.047    0.004 network.py:169(receive_message)
       26    0.000    0.000    0.047    0.002 network.py:207(_receive_data_on_socket)
       26    0.046    0.002    0.046    0.002 {method 'recv' of '_socket.socket' objects}
       39    0.000    0.000    0.036    0.001 frame.py:3356(__setitem__)
       39    0.000    0.000    0.035    0.001 frame.py:3433(_set_item)
       39    0.000    0.000    0.030    0.001 generic.py:3171(_set_item)
       39    0.000    0.000    0.029    0.001 managers.py:1019(set)
       39    0.001    0.000    0.027    0.001 managers.py:1134(insert)
   143/91    0.003    0.000    0.023    0.000 base.py:253(__new__)
       39    0.000    0.000    0.020    0.001 base.py:4919(insert)
       14    0.000    0.000    0.014    0.001 frame.py:378(__init__)
       13    0.000    0.000    0.014    0.001 construction.py:170(init_dict)
       39    0.000    0.000    0.013    0.000 base.py:3830(_coerce_scalar_to_index)
    11003    0.005    0.000    0.011    0.000 {isinstance}
        1    0.000    0.000    0.011    0.011 concat.py:24(concat)
     1363    0.002    0.000    0.009    0.000 base.py:75(is_dtype)
       13    0.000    0.000    0.009    0.001 construction.py:43(arrays_to_mgr)
        1    0.000    0.000    0.008    0.008 concat.py:237(__init__)
       13    0.000    0.000    0.007    0.001 generic.py:5140(_consolidate)
       13    0.000    0.000    0.007    0.001 generic.py:5132(_consolidate_inplace)
       13    0.000    0.000    0.007    0.001 generic.py:5122(_protect_consolidate)
       13    0.000    0.000    0.007    0.001 generic.py:5135(f)
       13    0.000    0.000    0.007    0.001 managers.py:911(consolidate)
       39    0.000    0.000    0.006    0.000 base.py:584(_shallow_copy_with_infer)
     5144    0.002    0.000    0.005    0.000 generic.py:7(_check)
       69    0.000    0.000    0.005    0.000 blocks.py:3080(make_block)
       13    0.000    0.000    0.005    0.000 managers.py:1663(create_block_manager_from_arrays)
     8273    0.004    0.000    0.005    0.000 {getattr}
       39    0.000    0.000    0.004    0.000 frame.py:3565(_sanitize_column)
       27    0.000    0.000    0.004    0.000 managers.py:97(__init__)
       26    0.000    0.000    0.004    0.000 managers.py:927(_consolidate_inplace)
       78    0.001    0.000    0.004    0.000 blocks.py:3034(get_block_type)
      971    0.002    0.000    0.004    0.000 common.py:1845(_is_dtype_type)
       78    0.000    0.000    0.004    0.000 series.py:865(__getitem__)
