         7577645 function calls (7535716 primitive calls) in 22.257 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   22.257   22.257 <string>:2(<module>)
        1    0.008    0.008   22.257   22.257 geo_functions.py:124(getBlockAvailability)
       13    0.056    0.004   21.480    1.652 predictive_functions.py:7(historicalUtilizationPercentageWithIgnore)
     2056    0.004    0.000   16.587    0.008 cursor.py:1185(next)
      286    0.002    0.000   16.581    0.058 cursor.py:1076(_refresh)
      143    0.003    0.000   16.573    0.116 cursor.py:911(__send_message)
      143    0.001    0.000   16.549    0.116 mongo_client.py:1106(_send_message_with_response)
      143    0.000    0.000   16.541    0.116 mongo_client.py:1147(_reset_on_error)
      143    0.003    0.000   16.541    0.116 server.py:66(send_message_with_response)
      145    0.001    0.000   16.503    0.114 network.py:169(receive_message)
      143    0.000    0.000   16.503    0.115 pool.py:603(receive_message)
      290    0.004    0.000   16.500    0.057 network.py:207(_receive_data_on_socket)
      290   16.496    0.057   16.496    0.057 {method 'recv' of '_socket.socket' objects}
     6735    0.028    0.000    1.366    0.000 frame.py:2893(__getitem__)
     4039    0.034    0.000    1.268    0.000 ops.py:1660(wrapper)
     1463    0.006    0.000    1.227    0.001 frame.py:2952(_getitem_bool_array)
     1463    0.010    0.000    1.132    0.001 generic.py:3323(_take)
     1464    0.013    0.000    1.058    0.001 managers.py:1329(take)
     2315    0.019    0.000    1.017    0.000 ops.py:1817(wrapper)
    21113    0.121    0.000    1.002    0.000 series.py:152(__init__)
4890/4760    0.025    0.000    0.993    0.000 generic.py:5581(astype)
     1464    0.015    0.000    0.876    0.001 managers.py:1198(reindex_indexer)
      260    0.002    0.000    0.829    0.003 indexing.py:183(__setitem__)
1284273/1283865    0.336    0.000    0.778    0.000 {isinstance}
     4630    0.015    0.000    0.737    0.000 ops.py:1815(<lambda>)
      260    0.001    0.000    0.690    0.003 indexing.py:153(_get_setitem_indexer)
      260    0.002    0.000    0.689    0.003 indexing.py:234(_convert_tuple)
      520    0.003    0.000    0.686    0.001 indexing.py:1271(_convert_to_indexer)
     7096    0.006    0.000    0.659    0.000 base.py:2650(get_loc)
     7098    0.009    0.000    0.653    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     7621    0.028    0.000    0.652    0.000 blocks.py:1217(take_nd)
     1724    0.010    0.000    0.651    0.000 frame.py:378(__init__)
      260    0.000    0.000    0.644    0.002 base.py:48(__str__)
      260    0.002    0.000    0.643    0.002 base.py:60(__bytes__)
      260    0.003    0.000    0.638    0.002 series.py:1369(__unicode__)
     7621    0.085    0.000    0.560    0.000 algorithms.py:1544(take_nd)
   128421    0.094    0.000    0.502    0.000 base.py:75(is_dtype)
      261    0.001    0.000    0.484    0.002 construction.py:43(arrays_to_mgr)
     2618    0.005    0.000    0.465    0.000 ops.py:1166(dispatch_to_index_op)
    31319    0.041    0.000    0.441    0.000 blocks.py:3080(make_block)
    11990    0.060    0.000    0.427    0.000 managers.py:318(apply)
      260    0.002    0.000    0.406    0.002 terminal.py:25(get_terminal_size)
      260    0.002    0.000    0.397    0.002 terminal.py:94(_get_terminal_size_tput)
      260    0.003    0.000    0.395    0.002 subprocess.py:334(__init__)
      260    0.003    0.000    0.377    0.001 subprocess.py:590(_execute_child)
   572919    0.163    0.000    0.375    0.000 generic.py:7(_check)
      130    0.001    0.000    0.374    0.003 concat.py:24(concat)
     4630    0.013    0.000    0.372    0.000 series.py:3831(fillna)
      260    0.370    0.001    0.370    0.001 {_subprocess.CreateProcess}
    12504    0.044    0.000    0.367    0.000 blocks.py:3034(get_block_type)
     4630    0.044    0.000    0.359    0.000 generic.py:5948(fillna)
   928167    0.313    0.000    0.342    0.000 {getattr}
     8439    0.035    0.000    0.330    0.000 construction.py:537(sanitize_array)
      261    0.002    0.000    0.326    0.001 managers.py:1663(create_block_manager_from_arrays)
    21373    0.046    0.000    0.311    0.000 managers.py:1443(__init__)
     2618    0.010    0.000    0.278    0.000 datetimes.py:265(__new__)
      130    0.001    0.000    0.277    0.002 concat.py:383(get_result)
      130    0.001    0.000    0.272    0.002 construction.py:170(init_dict)
     1856    0.011    0.000    0.266    0.000 managers.py:97(__init__)
      261    0.013    0.000    0.243    0.001 managers.py:1696(form_blocks)
    54087    0.025    0.000    0.229    0.000 common.py:434(is_datetime64tz_dtype)
      260    0.002    0.000    0.220    0.001 series.py:1388(to_string)
     4760    0.008    0.000    0.218    0.000 managers.py:530(astype)
    38972    0.058    0.000    0.211    0.000 _dtype.py:319(_name_get)
     8439    0.012    0.000    0.210    0.000 construction.py:684(_try_cast)
