         6841941 function calls (6787448 primitive calls) in 10.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.877   10.877 <string>:3(<module>)
        1    0.028    0.028   10.877   10.877 geo_functions.py:117(getBlockAvailability)
        1    0.982    0.982   10.030   10.030 predictive_functions3.py:6(historicalUtilizationPercentageWithIgnore)
   197244    0.215    0.000    5.693    0.000 cursor.py:1185(next)
       10    0.010    0.001    5.339    0.534 cursor.py:1076(_refresh)
        8    0.006    0.001    5.329    0.666 cursor.py:911(__send_message)
        8    0.000    0.000    3.130    0.391 mongo_client.py:1106(_send_message_with_response)
        8    0.000    0.000    3.129    0.391 mongo_client.py:1147(_reset_on_error)
        8    0.000    0.000    3.129    0.391 server.py:66(send_message_with_response)
        8    0.007    0.001    3.124    0.391 pool.py:603(receive_message)
       10    0.013    0.001    3.118    0.312 network.py:169(receive_message)
       20    0.117    0.006    3.074    0.154 network.py:207(_receive_data_on_socket)
       20    2.956    0.148    2.956    0.148 {method 'recv' of '_socket.socket' objects}
        8    0.000    0.000    2.192    0.274 cursor.py:1066(_unpack_response)
        9    0.000    0.000    2.192    0.244 message.py:1454(unpack_response)
       10    2.092    0.209    2.192    0.219 {bson._cbson.decode_all}
     6323    0.035    0.000    1.576    0.000 frame.py:2893(__getitem__)
     1619    0.008    0.000    1.423    0.001 frame.py:2952(_getitem_bool_array)
     3948    0.041    0.000    1.386    0.000 ops.py:1660(wrapper)
     1619    0.015    0.000    1.304    0.001 generic.py:3323(_take)
     1620    0.017    0.000    1.204    0.001 managers.py:1329(take)
     2341    0.023    0.000    1.122    0.000 ops.py:1817(wrapper)
     1620    0.019    0.000    0.975    0.001 managers.py:1198(reindex_indexer)
    16550    0.111    0.000    0.970    0.000 series.py:152(__init__)
     4682    0.017    0.000    0.821    0.000 ops.py:1815(<lambda>)
     7489    0.030    0.000    0.715    0.000 blocks.py:1217(take_nd)
     7489    0.096    0.000    0.615    0.000 algorithms.py:1544(take_nd)
1151788/1151583    0.268    0.000    0.606    0.000 {isinstance}
     2488    0.006    0.000    0.507    0.000 ops.py:1166(dispatch_to_index_op)
     4682    0.015    0.000    0.422    0.000 series.py:3831(fillna)
     4682    0.053    0.000    0.407    0.000 generic.py:5948(fillna)
    95237    0.079    0.000    0.398    0.000 base.py:75(is_dtype)
