         6966945 function calls (6911152 primitive calls) in 12.633 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.633   12.633 <string>:3(<module>)
        1    0.025    0.025   10.945   10.945 geo_functions.py:117(getBlockAvailability)
        1    1.002    1.002   10.091   10.091 predictive_functions3.py:6(historicalUtilizationPercentageWithIgnore)
   197842    0.215    0.000    5.785    0.000 cursor.py:1185(next)
       45    0.011    0.000    5.426    0.121 cursor.py:1076(_refresh)
       27    0.006    0.000    5.411    0.200 cursor.py:911(__send_message)
       27    0.000    0.000    3.251    0.120 mongo_client.py:1106(_send_message_with_response)
       27    0.000    0.000    3.249    0.120 mongo_client.py:1147(_reset_on_error)
       27    0.001    0.000    3.249    0.120 server.py:66(send_message_with_response)
       27    0.007    0.000    3.238    0.120 pool.py:603(receive_message)
       31    0.014    0.000    3.232    0.104 network.py:169(receive_message)
       62    0.112    0.002    3.190    0.051 network.py:207(_receive_data_on_socket)
       62    3.078    0.050    3.078    0.050 {method 'recv' of '_socket.socket' objects}
       27    0.000    0.000    2.152    0.080 cursor.py:1066(_unpack_response)
       29    0.000    0.000    2.152    0.074 message.py:1454(unpack_response)
       31    2.053    0.066    2.152    0.069 {bson._cbson.decode_all}
     7116    0.038    0.000    1.599    0.000 frame.py:2893(__getitem__)
        1    0.000    0.000    1.521    1.521 geo_functions.py:10(geocode_address)
        1    0.000    0.000    1.520    1.520 osm.py:210(geocode)
        1    0.000    0.000    1.520    1.520 base.py:306(_call_geocoder)
        1    0.000    0.000    1.518    1.518 urllib2.py:411(open)
        1    0.000    0.000    1.517    1.517 urllib2.py:439(_open)
        2    0.000    0.000    1.517    0.759 urllib2.py:399(_call_chain)
        1    0.000    0.000    1.517    1.517 urllib2.py:1239(https_open)
        1    0.000    0.000    1.517    1.517 urllib2.py:1152(do_open)
     1620    0.008    0.000    1.439    0.001 frame.py:2952(_getitem_bool_array)
     3949    0.042    0.000    1.407    0.000 ops.py:1660(wrapper)
     1622    0.015    0.000    1.321    0.001 generic.py:3323(_take)
     1623    0.017    0.000    1.220    0.001 managers.py:1329(take)
     2341    0.023    0.000    1.127    0.000 ops.py:1817(wrapper)
        1    0.000    0.000    1.016    1.016 httplib.py:1239(__init__)
        1    0.000    0.000    1.015    1.015 ssl.py:416(create_default_context)
     9334    1.014    0.000    1.014    0.000 {built-in method __new__ of type object at 0x000000006EA691E0}
        1    0.000    0.000    1.011    1.011 ssl.py:352(__new__)
     1624    0.020    0.000    0.989    0.001 managers.py:1198(reindex_indexer)
    16569    0.112    0.000    0.979    0.000 series.py:152(__init__)
     4682    0.017    0.000    0.825    0.000 ops.py:1815(<lambda>)
     7493    0.030    0.000    0.724    0.000 blocks.py:1217(take_nd)
1168549/1168065    0.280    0.000    0.631    0.000 {isinstance}
     7501    0.097    0.000    0.624    0.000 algorithms.py:1544(take_nd)
     2488    0.006    0.000    0.516    0.000 ops.py:1166(dispatch_to_index_op)
     4682    0.015    0.000    0.424    0.000 series.py:3831(fillna)
    96904    0.083    0.000    0.417    0.000 base.py:75(is_dtype)
     4682    0.054    0.000    0.409    0.000 generic.py:5948(fillna)
4685/4684    0.022    0.000    0.391    0.000 generic.py:5581(astype)
        1    0.000    0.000    0.358    0.358 httplib.py:1040(request)
        1    0.000    0.000    0.358    0.358 httplib.py:1067(_send_request)
        1    0.000    0.000    0.358    0.358 httplib.py:1025(endheaders)
        1    0.000    0.000    0.358    0.358 httplib.py:867(_send_output)
        1    0.000    0.000    0.358    0.358 httplib.py:840(send)
        1    0.000    0.000    0.358    0.358 httplib.py:1252(connect)
    24162    0.035    0.000    0.357    0.000 blocks.py:3080(make_block)
     9385    0.053    0.000    0.340    0.000 managers.py:318(apply)
    16569    0.040    0.000    0.314    0.000 managers.py:1443(__init__)
     2488    0.013    0.000    0.306    0.000 datetimes.py:265(__new__)
   421692    0.132    0.000    0.297    0.000 generic.py:7(_check)
   694149    0.249    0.000    0.272    0.000 {getattr}
     6357    0.033    0.000    0.248    0.000 construction.py:537(sanitize_array)
     1663    0.011    0.000    0.243    0.000 managers.py:97(__init__)
     4684    0.009    0.000    0.220    0.000 managers.py:530(astype)
     6468    0.028    0.000    0.216    0.000 blocks.py:3034(get_block_type)
     2488    0.011    0.000    0.203    0.000 datetimes.py:365(_from_sequence)
    43384    0.024    0.000    0.202    0.000 common.py:434(is_datetime64tz_dtype)
        1    0.000    0.000    0.201    0.201 ssl.py:361(wrap_socket)
