         4601 function calls (4595 primitive calls) in 0.019 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 <string>:3(<module>)
      151    0.000    0.000    0.013    0.000 cursor.py:1185(next)
        3    0.000    0.000    0.013    0.004 cursor.py:1076(_refresh)
        2    0.000    0.000    0.013    0.006 cursor.py:911(__send_message)
        2    0.000    0.000    0.011    0.005 mongo_client.py:1106(_send_message_with_response)
        2    0.000    0.000    0.010    0.005 mongo_client.py:1147(_reset_on_error)
        2    0.000    0.000    0.010    0.005 server.py:66(send_message_with_response)
        3    0.000    0.000    0.008    0.003 network.py:169(receive_message)
        6    0.000    0.000    0.008    0.001 network.py:207(_receive_data_on_socket)
        6    0.008    0.001    0.008    0.001 {method 'recv' of '_socket.socket' objects}
        2    0.000    0.000    0.007    0.004 pool.py:603(receive_message)
        1    0.000    0.000    0.005    0.005 frame.py:378(__init__)
        1    0.000    0.000    0.003    0.003 construction.py:43(arrays_to_mgr)
        4    0.000    0.000    0.002    0.001 pool.py:979(get_socket)
        2    0.000    0.000    0.002    0.001 contextlib.py:15(__enter__)
        2    0.000    0.000    0.002    0.001 pool.py:1016(_get_socket_no_auth)
        1    0.000    0.000    0.002    0.002 pool.py:958(connect)
        1    0.000    0.000    0.002    0.002 construction.py:254(_homogenize)
        3    0.002    0.001    0.002    0.001 {bson._cbson.decode_all}
        2    0.000    0.000    0.002    0.001 cursor.py:1066(_unpack_response)
        2    0.000    0.000    0.002    0.001 message.py:1454(unpack_response)
        6    0.000    0.000    0.002    0.000 construction.py:537(sanitize_array)
        6    0.000    0.000    0.001    0.000 construction.py:684(_try_cast)
        1    0.000    0.000    0.001    0.001 managers.py:1663(create_block_manager_from_arrays)
        1    0.000    0.000    0.001    0.001 pool.py:476(ismaster)
        1    0.000    0.000    0.001    0.001 construction.py:382(to_arrays)
        1    0.000    0.000    0.001    0.001 construction.py:469(_list_of_dict_to_arrays)
        1    0.000    0.000    0.001    0.001 pool.py:504(command)
        1    0.000    0.000    0.001    0.001 network.py:52(command)
        1    0.000    0.000    0.001    0.001 pool.py:836(_configured_socket)
        1    0.000    0.000    0.001    0.001 pool.py:764(_create_connection)
       12    0.000    0.000    0.001    0.000 cast.py:953(maybe_cast_to_datetime)
        1    0.000    0.000    0.001    0.001 managers.py:1696(form_blocks)
      692    0.000    0.000    0.001    0.000 {isinstance}
       12    0.000    0.000    0.001    0.000 cast.py:846(maybe_infer_to_datetimelike)
        1    0.001    0.001    0.001    0.001 {_socket.getaddrinfo}
        1    0.000    0.000    0.001    0.001 construction.py:484(_convert_object_array)
        6    0.000    0.000    0.001    0.000 construction.py:495(convert)
        9    0.000    0.000    0.001    0.000 socket.py:227(meth)
      260    0.000    0.000    0.000    0.000 generic.py:7(_check)
        8    0.000    0.000    0.000    0.000 blocks.py:3034(get_block_type)
        1    0.000    0.000    0.000    0.000 frame.py:2893(__getitem__)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       24    0.000    0.000    0.000    0.000 common.py:131(is_object_dtype)
       37    0.000    0.000    0.000    0.000 common.py:1845(_is_dtype_type)
       49    0.000    0.000    0.000    0.000 base.py:75(is_dtype)
        1    0.000    0.000    0.000    0.000 message.py:305(get_message)
      395    0.000    0.000    0.000    0.000 {getattr}
        3    0.000    0.000    0.000    0.000 blocks.py:3080(make_block)
        1    0.000    0.000    0.000    0.000 generic.py:3056(_get_item_cache)
        7    0.000    0.000    0.000    0.000 base.py:5318(ensure_index)
        1    0.000    0.000    0.000    0.000 managers.py:1796(_simple_blockify)
        1    0.000    0.000    0.000    0.000 managers.py:97(__init__)
        2    0.000    0.000    0.000    0.000 message.py:657(_op_msg)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
        6    0.000    0.000    0.000    0.000 common.py:1643(is_extension_type)
        3    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.fast_unique_multiple_list_gen}
       15    0.000    0.000    0.000    0.000 _dtype.py:319(_name_get)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 message.py:388(get_message)
        1    0.000    0.000    0.000    0.000 managers.py:1810(_multi_blockify)
        1    0.000    0.000    0.000    0.000 base.py:253(__new__)
        2    0.000    0.000    0.000    0.000 pool.py:586(send_message)
      150    0.000    0.000    0.000    0.000 objectid.py:83(__init__)
        1    0.000    0.000    0.000    0.000 frame.py:3342(_box_item_values)
        2    0.000    0.000    0.000    0.000 {pymongo._cmessage._op_msg}
       14    0.000    0.000    0.000    0.000 common.py:262(is_categorical)
        2    0.000    0.000    0.000    0.000 managers.py:1841(_stack_arrays)
      150    0.000    0.000    0.000    0.000 database.py:394(_fix_outgoing)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.dicts_to_array}
        6    0.000    0.000    0.000    0.000 cast.py:832(maybe_castable)
        2    0.000    0.000    0.000    0.000 contextlib.py:21(__exit__)
      151    0.000    0.000    0.000    0.000 construction.py:471(<genexpr>)
       15    0.000    0.000    0.000    0.000 numerictypes.py:365(issubdtype)
        1    0.000    0.000    0.000    0.000 message.py:276(as_command)
        1    0.000    0.000    0.000    0.000 mongo_client.py:1555(_ensure_session)
        1    0.000    0.000    0.000    0.000 mongo_client.py:1506(__start_session)
       31    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 frame.py:3349(_box_col_values)
       16    0.000    0.000    0.000    0.000 common.py:434(is_datetime64tz_dtype)
        3    0.000    0.000    0.000    0.000 blocks.py:78(__init__)
        1    0.000    0.000    0.000    0.000 series.py:152(__init__)
        9    0.000    0.000    0.000    0.000 son.py:135(update)
        1    0.000    0.000    0.000    0.000 managers.py:186(_rebuild_blknos_and_blklocs)
        2    0.000    0.000    0.000    0.000 topology.py:217(select_server)
  414/408    0.000    0.000    0.000    0.000 {len}
