         1579782 function calls in 9.789 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.296    1.296    9.789    9.789 <string>:2(<module>)
   197093    0.271    0.000    8.493    0.000 cursor.py:1185(next)
        7    0.012    0.002    8.042    1.149 cursor.py:1076(_refresh)
        6    0.006    0.001    8.030    1.338 cursor.py:911(__send_message)
        6    0.000    0.000    5.618    0.936 mongo_client.py:1106(_send_message_with_response)
        6    0.000    0.000    5.618    0.936 mongo_client.py:1147(_reset_on_error)
        6    0.000    0.000    5.618    0.936 server.py:66(send_message_with_response)
        6    0.008    0.001    5.615    0.936 pool.py:603(receive_message)
        6    0.015    0.003    5.607    0.935 network.py:169(receive_message)
       12    0.158    0.013    5.557    0.463 network.py:207(_receive_data_on_socket)
       14    5.399    0.386    5.399    0.386 {method 'recv' of '_socket.socket' objects}
        6    0.000    0.000    2.406    0.401 cursor.py:1066(_unpack_response)
        6    0.000    0.000    2.406    0.401 message.py:1454(unpack_response)
        6    2.281    0.380    2.406    0.401 {bson._cbson.decode_all}
   197092    0.127    0.000    0.127    0.000 database.py:394(_fix_outgoing)
   197092    0.101    0.000    0.125    0.000 objectid.py:83(__init__)
        6    0.035    0.006    0.035    0.006 message.py:1469(unpack)
   197111    0.028    0.000    0.028    0.000 collection.py:310(database)
   394275    0.024    0.000    0.024    0.000 {len}
   197104    0.013    0.000    0.013    0.000 {isinstance}
   197093    0.012    0.000    0.012    0.000 {method 'popleft' of 'collections.deque' objects}
        6    0.000    0.000    0.001    0.000 message.py:657(_op_msg)
        5    0.000    0.000    0.001    0.000 message.py:388(get_message)
       12    0.000    0.000    0.001    0.000 pool.py:979(get_socket)
        1    0.000    0.000    0.001    0.001 message.py:305(get_message)
        6    0.000    0.000    0.000    0.000 {pymongo._cmessage._op_msg}
        6    0.000    0.000    0.000    0.000 pool.py:586(send_message)
        8    0.000    0.000    0.000    0.000 socket.py:227(meth)
        6    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
     1793    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 contextlib.py:21(__exit__)
